Height,Width,Depth,Hazardous
0,0,0,0
7.403642304,6.938052557,7.929759097,1
7.559527893,1.439224323,4.069455289,0
3.002976744,6.738915613,5.899322523,0
6.813133382,4.775522059,7.223538689,1
5.492218632,4.493140693,6.839116312,1
4.633671644,1.155591246,6.140950223,1
6.156118202,4.878651942,5.528323152,1
1.942666181,6.03928322,6.900147873,0
5.598946033,2.650006605,2.117488762,0
5.935453488,6.683157768,3.545943592,0
4.204192434,3.950317279,2.925647562,0
6.033785762,4.954373856,1.873561658,0
7.54270573,2.061835492,4.959388644,0
2.78800177,2.363547049,5.712681561,0
4.236049758,2.167481255,1.011921911,0
7.580101659,6.845767005,6.606448557,1
7.847584999,1.777548795,2.38770006,0
1.822411532,2.876490746,5.667218073,0
4.324979571,6.589366792,6.514140161,0
4.922329224,3.092505857,7.665270297,0
7.328219711,7.072981267,3.678743042,0
1.970971174,1.27596273,4.68464377,0
7.922242102,3.37876457,3.718478805,1
7.626677628,3.167172668,1.922093202,1
1.577062907,1.906175798,6.65402893,0
4.59948249,3.616841395,5.803747816,0
15.81235037,16.3356855,15.13261566,1
7.340166916,1.326257322,3.939642672,1
4.128787397,7.912613395,6.146827378,1
6.85202982,7.359166313,6.948748719,1
6.163169324,7.855731027,1.542252121,1
16.15787366,11.67379317,12.46753745,1
3.71675798,1.299140618,1.768704922,1
5.796188106,1.999826548,2.553574387,0
1.027638372,3.524065891,1.329384534,0
6.830412562,4.810943848,1.426140038,0
1.051339028,7.56177633,4.735411372,0
2.45361281,5.448842061,1.688097138,0
7.346209855,4.393225721,3.928424628,0
5.282450504,1.601273593,1.845154814,0
3.656914684,7.614392309,7.477314976,0
4.050401095,3.426996403,1.067406623,0
1.26201723,3.585423563,4.383353403,1
7.814779396,5.369041201,6.300571491,0
4.022258742,6.091840778,7.384648471,1
7.703036177,2.385496763,6.442285007,0
7.214284339,5.121006401,7.818882485,1
5.479851386,6.900280169,2.134565626,0
7.796766273,7.995653226,3.182145487,0
5.331867451,1.080067746,4.078994771,0
3.333990479,6.74932295,5.558081032,1
3.427237737,2.439366785,5.834192093,0
3.78939788,1.796633958,2.393596527,0
6.49284943,5.816599645,6.597527697,1
1.272555438,2.910729236,6.388178955,0
6.241567703,6.762189154,5.615443077,1
5.740937811,5.510774815,1.980871202,0
2.198850313,4.695315966,5.677904189,0
2.827615747,1.200556777,2.066338944,0
4.600890543,3.010190275,5.045151522,0
5.729250922,1.249084699,5.295411715,0
7.879720385,7.285075675,2.055072522,0
6.316809873,1.916782555,4.753251196,0
4.965418969,1.360108622,5.000320995,0
6.94782803,3.54762566,5.225056374,0
2.326317548,5.868365481,6.889497789,0
2.899006303,7.246163919,4.693469396,0
6.797109397,2.709933365,2.719283535,1
5.852433743,3.743764779,3.089683949,0
